Date,Year,Month,Rainfall_mm,P_3month,P_6month,SPI_3,SPI_6,SPI3_Class,SPI6_Class
2008-12-01,2008,12,1.8447472430434009,64.1851260387943,740.1280701665078,-0.6875912160091996,0.2960510212402024,Near Normal,Near Normal
2009-01-01,2009,1,1.7075884349746684,4.907869539944661,533.6858850551785,0.28614976258246033,0.20819841672890857,Near Normal,Near Normal
2009-02-01,2009,2,1.44819675266564,5.0005324306834815,246.07093087911133,1.081951579724801,-0.8298077681771889,Moderately Wet,Near Normal
2009-03-01,2009,3,7.655526900897966,10.811312088538047,74.9964381273328,-0.7599952434875933,-0.9179727301296954,Near Normal,Near Normal
2009-04-01,2009,4,48.0575531328978,57.16127678646118,62.0691463264063,0.030518260116994027,0.04336607906736868,Near Normal,Near Normal
2009-05-01,2009,5,79.6733983135544,135.38647834734994,140.38701077803387,-0.8179652729865406,-0.7203314200076604,Near Normal,Near Normal
2009-06-01,2009,6,132.6958887068853,260.42684015333725,271.2381522418758,-0.586593437744049,-0.7779894828487353,Near Normal,Near Normal
2009-07-01,2009,7,200.46255090192858,412.8318379223681,469.9931147088297,-0.6396351195507786,-0.5829993239250728,Near Normal,Near Normal
2009-08-01,2009,8,256.01371039127923,589.1721500000929,724.5586283474432,0.22272271042458117,-0.23406624254497052,Near Normal,Near Normal
2009-09-01,2009,9,170.38157794459,626.8578392377976,887.2846793911353,-0.2097205259603156,-0.48709495135062564,Near Normal,Near Normal
2009-10-01,2009,10,117.29923468002129,543.6945230158904,956.5263609382587,0.4522442724463813,0.029386086093780225,Near Normal,Near Normal
2009-11-01,2009,11,3.704713296460381,291.38552592107146,880.5576759211648,0.36117518074857663,0.33367779700115724,Near Normal,Near Normal
2009-12-01,2009,12,0.24405483486889035,121.24800281135039,748.1058420491484,1.2354936013013256,0.4184711003376337,Moderately Wet,Near Normal
2010-01-01,2010,1,0.6818070863289267,4.630575217658028,548.3250982335487,0.13562598737620524,0.4634120109983326,Near Normal,Near Normal
2010-02-01,2010,2,1.461147839096706,2.3870097602943527,293.7725356813662,-0.5376280546911656,0.3716546683773799,Near Normal,Near Normal
2010-03-01,2010,3,7.4945132381949255,9.637468163620388,130.88547097497113,-1.0113594397010854,1.098181034784217,Moderately Dry,Moderately Wet
2010-04-01,2010,4,47.01016016809066,55.965821245382116,60.596396463040485,-0.06408325115081849,-0.0721052068553395,Near Normal,Near Normal
2010-05-01,2010,5,94.82661070546278,149.3312841117482,151.7182938720429,-0.21564054700383842,-0.2317071660942323,Near Normal,Near Normal
2010-06-01,2010,6,143.26341083430964,285.10018170786293,294.73764987148365,0.20193496084854853,0.006440496112995878,Near Normal,Near Normal
2010-07-01,2010,7,212.07500378392407,450.16502532369634,506.1308465690788,0.4166365391202333,0.33255483960798315,Near Normal,Near Normal
2010-08-01,2010,8,247.2222875020202,602.5607021202537,751.8919862320023,0.5510947183786061,0.32631410004315753,Near Normal,Near Normal
2010-09-01,2010,9,193.75747143721827,653.0547627231624,938.1549444310256,0.3404509973662136,0.35578623258312364,Near Normal,Near Normal
2010-10-01,2010,10,130.93034476164115,571.9101037008795,1022.0751290245762,0.9339259620441839,0.923621365767485,Near Normal,Near Normal
2010-11-01,2010,11,3.8710299515755597,328.5588461504348,931.1195482706889,1.194019088790347,1.047103583159752,Moderately Wet,Moderately Wet
2010-12-01,2010,12,0.5078090503013918,135.30918376351792,788.3639464866807,1.6118256150743782,1.0233642106563898,Severely Wet,Moderately Wet
2011-01-01,2011,1,0.3084281975903679,4.687267199467149,576.597370900347,0.1668784040869542,0.9437774414244834,Near Normal,Near Normal
2011-02-01,2011,2,4.825699255378791,5.64193650327038,334.2007826537055,1.3876253291833984,1.2918852859086214,Moderately Wet,Moderately Wet
2011-03-01,2011,3,8.09178530375722,13.22591275672621,148.53509652024448,-0.29666666816341786,1.6118804221542802,Near Normal,Severely Wet
2011-04-01,2011,4,35.44085567723509,48.358340236370935,53.04560743583842,-0.7003334648693471,-0.6957396332622106,Near Normal,Near Normal
2011-05-01,2011,5,101.99066300564256,145.5233039866347,151.16524048990541,-0.37623511283049815,-0.25497668111854604,Near Normal,Near Normal
2011-06-01,2011,6,143.50017041617573,280.93168909905324,294.1576018557798,0.07200485068757839,-0.012408866465480018,Near Normal,Near Normal
2011-07-01,2011,7,157.24121731979687,402.732050741615,451.0903909779863,-0.9363015825538019,-1.080769562595647,Near Normal,Moderately Dry
2011-08-01,2011,8,259.3620410759668,560.1034288119392,705.6267327985743,-0.5077418081901564,-0.6305255779342671,Near Normal,Near Normal
2011-09-01,2011,9,190.22076427270673,606.8240226684702,887.7557117675237,-0.6409054547409258,-0.4791442230991041,Near Normal,Near Normal
2011-10-01,2011,10,88.53419795876147,538.1170033074347,940.8490540490502,0.35507558570048653,-0.19049899175898471,Near Normal,Near Normal
2011-11-01,2011,11,1.0222317493883524,279.7771939808564,839.8806227927959,0.08674392361454995,-0.260320007655787,Near Normal,Near Normal
2011-12-01,2011,12,0.28561925722425296,89.8420489653739,696.6660716338445,0.2779071937791232,-0.38680743996635064,Near Normal,Near Normal
2012-01-01,2012,1,0.5811237848057854,1.8889747914182202,540.0059780988533,-1.8651650933645438,0.31894402787438475,Severely Dry,Near Normal
2012-02-01,2012,2,3.1215336143436003,3.9882766563734684,283.7654706372302,0.5430173701096501,0.1310550066440412,Near Normal,Near Normal
2012-03-01,2012,3,6.3866767652603995,10.089334164409614,99.93138312978385,-0.912214699857701,0.07458376649384646,Near Normal,Near Normal
2012-04-01,2012,4,48.20217285401659,57.71038323362042,59.59935802503898,0.0735290808722694,-0.151346864387838,Near Normal,Near Normal
2012-05-01,2012,5,127.32370944886752,181.91255906814433,185.90083572451815,1.0582070591458663,1.1088147194484945,Moderately Wet,Moderately Wet
2012-06-01,2012,6,144.28941416194468,319.81529646482863,329.90463062923857,1.2379255292313145,1.1059723271885555,Moderately Wet,Moderately Wet
2012-07-01,2012,7,215.02826041517946,486.6413840259915,544.3517672596123,1.3937837152706103,1.254716906307815,Moderately Wet,Moderately Wet
2012-08-01,2012,8,238.46845032481895,597.7861249019429,779.6986839700876,0.4345539515078563,0.8826535707640272,Near Normal,Near Normal
2012-09-01,2012,9,205.3568205786726,658.8535313186708,978.6688277834998,0.4602381530704282,1.0055524506942373,Near Normal,Moderately Wet
2012-10-01,2012,10,111.25020254511372,555.0754734486051,1041.716857474597,0.6484829571174927,1.1841364981058111,Near Normal,Moderately Wet
2012-11-01,2012,11,3.751812517618332,320.3588356414045,918.1449605433478,1.015872213549473,0.8665344435937686,Moderately Wet,Near Normal
2012-12-01,2012,12,0.4266877600408686,115.42870282277275,774.282234141444,1.0714852869846212,0.814161652639403,Moderately Wet,Near Normal
2013-01-01,2013,1,1.3549436555683274,5.533443933227357,560.6089173818327,0.6061472661860825,0.6740925788513631,Near Normal,Near Normal
2013-02-01,2013,2,2.019066352972457,3.8006977685814824,324.1595334099863,0.4335813089175082,1.0705013935741772,Near Normal,Moderately Wet
